auction_id;auction_name;auction_country;country_isocode;startdate;closedate;onlinedate;is_private;is_active;is_homedelivery;is_public;open_for_bidding;is_closed;sourcing_company
45307;Dagaanbiedingen vrijdagavond;Netherlands;nl;2020-01-30;2020-01-31;;0;0;1;;0;1;3rdpartydailyspecials
45804;BVA Top Lots - Retourgoederen van o.a. Microsoft, HP, Bosch & Apple;Netherlands;nl;2020-02-19;2020-02-23;;0;0;1;;0;1;bva
43948;Design keukens, apparatuur & sanitair van o.a. Ballerina & Thebalux te Eindhoven;Netherlands;nl;2020-01-24;2020-02-06;;0;0;0;;0;1;bva
45807;BVA Top Lots - Retourgoederen van o.a. MSI, Acer, Nespresso & Microsoft;Netherlands;nl;2020-02-21;2020-02-26;;0;0;1;;0;1;bva
45321;Partij natuursteen en keramiek voor binnen gebruik;Netherlands;nl;2020-01-10;2020-01-20;;0;0;1;;0;1;bva
45727;Faillissement Law Fathers B.V. te Amsterdam;Netherlands;nl;2020-01-30;2020-02-06;;0;0;0;;0;1;bva
45162;Classic jewelry and decorative goods;Netherlands;nl;2020-01-10;2020-01-17;;0;0;1;;0;1;art
46152;Faillissement Broekema’s Camping Service B.V. te Anloo (2/2);Netherlands;nl;2020-02-10;2020-02-17;;0;0;0;;0;1;bva
45342;(Bezorgveiling) Kleding en schoenen (Thema fashion dames);Netherlands;nl;2020-01-14;2020-01-18;;0;0;1;;0;1;bva
45934;Art - DCA;Netherlands;nl;2020-02-16;2020-02-23;;0;0;1;;0;1;art
44872;Dagaanbiedingen donderdagavond;Netherlands;nl;2020-01-01;2020-01-02;;0;0;1;;0;1;3rdpartydailyspecials
45114;BVA Top lots - Retourgoederen van o.a HP, AEG, Samsung & Bosch;Netherlands;nl;2020-01-09;2020-01-13;;0;0;1;;0;1;bva
45190;Dagaanbiedingen zondagmiddag;Netherlands;nl;2020-01-18;2020-01-19;;0;0;1;;0;1;3rdpartydailyspecials
45938;Schilderijen, tekeningen en grafiek uit diverse bedrijfscollecties te Amersfoort;Netherlands;nl;2020-02-07;2020-02-16;;0;0;0;;0;1;art
45053;Bouwmaterialen & doe het zelf artikelen te Leiden;Netherlands;nl;2020-02-15;2020-02-20;;0;0;0;;0;1;bva
45339;Kleding, horloges en schoenen voor heren van o.a. Bjorn Borg, Calvin Klein, O'Neill en Polo;Netherlands;nl;2020-02-04;2020-02-08;;0;0;1;;0;1;bva
45773;Woningdecoratie en inrichting te Ulft;Netherlands;nl;2020-02-12;2020-02-24;;0;0;0;;0;1;bva
44882;Dagaanbiedingen zondagavond;Netherlands;nl;2020-01-04;2020-01-05;;0;0;1;;0;1;3rdpartydailyspecials
45316;Dagaanbiedingen zondagavond;Netherlands;nl;2020-02-01;2020-02-02;;0;0;1;;0;1;3rdpartydailyspecials
45127;BVA Top Lots - Retourgoederen van o.a. HP, Microsoft, Roomba & Sony;Netherlands;nl;2020-01-23;2020-01-27;;0;0;1;;0;1;bva
45191;Dagaanbiedingen zondagavond;Netherlands;nl;2020-01-18;2020-01-19;;0;0;1;;0;1;3rdpartydailyspecials
46053;Zilveren munten;Netherlands;nl;2020-02-13;2020-02-20;;0;0;1;;0;1;art
45022;Premium horloges w.o. Seiko, Franck Muller & TW Steel;Netherlands;nl;2019-12-30;2020-01-05;;0;0;1;;0;1;art
45924;(F) Faillissement Endostim bv te Nijmegen;Netherlands;nl;2020-02-04;2020-02-17;;0;0;1;;0;1;bva
45083;Rotterdam, Terschellingsestraat 31B;Netherlands;nl;2020-01-29;2020-01-29;;0;0;0;;0;1;nvv
45809;BVA Top Lots - Retourgoederen van o.a. Apple, Sony & Panasonic;Netherlands;nl;2020-02-26;2020-03-01;;0;0;1;;0;1;bva
45309;(Bezorgveiling) Dagaanbiedingen dinsdagmiddag (wk05) (Daily Specials);Netherlands;nl;2020-01-27;2020-01-28;;0;0;1;;0;1;3rdpartydailyspecials
45266;(Bezorgveiling) Dagaanbiedingen zondagavond (wk04) (Daily Specials);Netherlands;nl;2020-01-25;2020-01-26;;0;0;1;;0;1;3rdpartydailyspecials
44644;Tuin en terras;Netherlands;nl;2020-01-25;2020-02-02;;0;0;1;;0;1;bva
45116;BVA Top Lots - Retourgoederen van o.a. MSI, Siemens, SMEG & AEG;Netherlands;nl;2020-01-10;2020-01-15;;0;0;1;;0;1;bva
44981;Dagaanbiedingen dinsdagmiddag;Netherlands;nl;2020-01-06;2020-01-07;;0;0;1;;0;1;3rdpartydailyspecials
45306;Dagaanbiedingen donderdagavond;Netherlands;nl;2020-01-29;2020-01-30;;0;0;1;;0;1;3rdpartydailyspecials
45502;Schil- en schrapmachines, groentewas- en snijmachines te Amsterdam;Netherlands;nl;2020-02-03;2020-02-17;;0;0;0;;0;1;bva
45364;Vlaardingen, Holysingel 264;Netherlands;nl;2020-02-19;2020-02-19;;0;0;0;;0;1;nvv
45202;Faillissement Robot Care Systems B.V. te Delft;Netherlands;nl;2019-12-30;2020-01-08;;0;0;0;;0;1;bva
45457;Faillissement van Thermen Houten BV te Houten (2/2);Netherlands;nl;2020-01-17;2020-01-27;;0;0;0;;0;1;bva
45007;Partijen LED verlichting;Netherlands;nl;2020-01-08;2020-01-12;;0;0;1;;0;1;bva
45764;Alles voor de doe-het-zelver en tuinaccessoires;Netherlands;nl;2020-02-22;2020-03-01;;0;0;1;;0;1;bva
45215;Moderne schilderijen en zeefdrukken te Amersfoort;Netherlands;nl;2019-12-30;2020-01-07;;0;0;0;;0;1;art
45110;BVA Top Lots - Retourgoederen van o.a. Siemens, Samsung, HP & Whirlpool;Netherlands;nl;2020-01-03;2020-01-07;;0;0;1;;0;1;bva
45252;Doe-het-zelf materialen te Valkenswaard;Netherlands;nl;2020-01-21;2020-01-29;;0;0;0;;0;1;bva
44831;Bouwmaterialen, elektrisch gereedschap en toebehoren te Rijssen;Netherlands;nl;2019-12-23;2020-01-07;;0;0;0;;0;1;bva
45174;The daily vintage market (wed);Netherlands;nl;2020-01-22;2020-01-29;;0;0;1;;0;1;art
44904;Faillissementsgoederen te Amersfoort;Netherlands;nl;2020-01-06;2020-01-13;;0;0;0;;0;1;bva
43319;-;Netherlands;nl;2020-02-20;2020-02-20;;0;1;0;;0;1;nvv
45661;Dagaanbiedingen maandagavond;Netherlands;nl;2020-02-09;2020-02-10;;0;0;1;;0;1;3rdpartydailyspecials
45135;BU5 - Auction NL;Netherlands;nl;2020-02-01;2020-02-08;;0;0;1;;0;1;art
45746;Woonmeubilair te s-Heerenberg;Netherlands;nl;2020-02-07;2020-02-16;;0;0;0;;0;1;bva
45855;Dagaanbiedingen vrijdagmiddag;Netherlands;nl;2020-02-20;2020-02-21;;0;0;1;;0;1;3rdpartydailyspecials
45059;Fietsen te Amersfoort;Netherlands;nl;2020-01-11;2020-01-17;;0;0;0;;0;1;bva
46093;Defensiegoederen (Domeinen Roerende Zaken) Amersfoort;Netherlands;nl;2020-02-17;2020-02-24;;0;0;0;;0;1;bva
45462;Dagaanbiedingen maandagavond;Netherlands;nl;2020-02-02;2020-02-03;;0;0;1;;0;1;3rdpartydailyspecials
45803;BVA Top Lots - Retourgoederen van o.a. Miele, Lenovo, Samsung & Acer;Netherlands;nl;2020-02-15;2020-02-20;;0;0;1;;0;1;bva
45965;New Watches i.a. Diesel, Hugo Boss & Emporio Armani;Netherlands;nl;2020-02-12;2020-02-18;;0;0;1;;0;1;art
44883;Keukens te Zoeterwoude Rijndijk;Netherlands;nl;2020-01-17;2020-01-29;;0;0;0;;0;1;bva
45138;BVA Top Lots - Retourgoederen van o.a. Sony, HP, Nespresso & Nokia;Netherlands;nl;2020-01-31;2020-02-05;;0;0;1;;0;1;bva
45672;(Bezorgveiling) Consumenten elektronica (Combi Elektronica en gadgets);Netherlands;nl;2020-02-11;2020-02-18;;0;0;1;;0;1;bva
45063;Wellness & lounge meubilair;Netherlands;nl;2020-01-02;2020-01-08;;0;0;1;;0;1;bva
45125;BVA Top Lots - Retourgoederen van o.a. Apple, HP, Brother & Bosch;Netherlands;nl;2020-01-22;2020-01-26;;0;0;1;;0;1;bva
45164;Vintage - Religues collectibles;Netherlands;nl;2020-01-12;2020-01-19;;0;0;1;;0;1;art
45995;Partij kantoormeubilair (Domeinen Roerende Zaken) Veenhuizen;Netherlands;nl;2020-02-06;2020-02-18;;0;0;0;;0;1;bva
45931;Luxury Jewels and Watches;Netherlands;nl;2020-02-08;2020-02-15;;0;0;1;;0;1;art
45403;Ex-lease auto’s te Apeldoorn;Netherlands;nl;2020-01-20;2020-01-28;;0;0;0;;0;1;bva
46066;Winkelvoorraden, installatiematerialen, sanitair en kantoorinrichting te Beugen;Netherlands;nl;2020-02-12;2020-02-19;;0;0;0;;0;1;bva
44770;K BU5 - VCC;Netherlands;nl;2019-12-31;2020-01-07;;0;1;1;;0;1;art
46009;Dagaanbiedingen vrijdagmiddag;Netherlands;nl;2020-02-27;2020-02-28;;0;0;1;;0;1;3rdpartydailyspecials
40620;Keukens en apparatuur op diverse locaties;Netherlands;nl;2019-12-20;2020-01-02;;0;0;0;;0;1;bva
45300;Q-vignes wijnimport te Deurne;Netherlands;nl;2020-01-07;2020-01-15;;0;0;0;;0;1;bva
44032;Alles voor wonen;Netherlands;nl;2019-12-25;2020-01-01;;0;0;1;;0;1;bva
45498;Inventaris (stellingen, intern transport, etc.) te Uden;Netherlands;nl;2020-01-24;2020-02-03;;0;0;0;;0;1;bva
44841;Faillissement Pure Food and Drinks (restaurantinventaris) te Purmerend;Netherlands;nl;2019-12-23;2020-01-08;;0;0;0;;0;1;bva
45425;Defensiegoederen (Domeinen Roerende Zaken) Amersfoort;Netherlands;nl;2020-01-20;2020-01-27;;0;0;0;;0;1;bva
45198;Kantoormeubilair en ICT;Netherlands;nl;2020-01-25;2020-01-31;;0;0;1;;0;1;bva
45033;(F) Faillissement Stichting Zahet - Locatie Nijmegen;Netherlands;nl;2019-12-27;2020-01-06;;0;0;0;;0;1;bva
45172;The daily vintage market (mon);Netherlands;nl;2020-01-20;2020-01-27;;0;0;1;;0;1;art
44916;Sanitair en tegels (2/2) te Schiedam;Netherlands;nl;2020-01-03;2020-01-12;;0;0;0;;0;1;bva
46077;Art - Jaap Roukens;Netherlands;nl;2020-02-07;2020-02-17;;0;0;0;;0;1;art
45044;Retourgoederen van o.a. Asus, LG en Samsung;Netherlands;nl;2020-01-02;2020-01-09;;0;0;1;;0;1;bva
45159;Jewellery, toys and collectibles;Netherlands;nl;2020-01-07;2020-01-14;;0;0;1;;0;1;art
45703;Posters o,a, Dave Thompson en Keith Haring;Netherlands;nl;2020-02-01;2020-02-08;;0;0;1;;0;1;art
45512;Retourgoederen van o.a. Kave Home, Marshall & WOOOD te Hoofddorp;Netherlands;nl;2020-01-29;2020-02-05;;0;0;0;;0;1;bva
