AUCTIONID,AUCTIONSTARTDATE,AUCTIONENDDATE,LOTMINSTARTDATE,LOTMAXSTARTDATE,LOTMINENDDATE,LOTMAXENDDATE,BIDRANGENAME
38218,02-01-2020 12:00:00,07-01-2020 01:30:00,02-01-2020 12:00:00,02-01-2020 12:00:00,07-01-2020 01:31:00,07-01-2020 03:56:00,de Standard en Standard nl Standaard biedranges
43289,24-01-2020 11:00:00,24-01-2020 11:15:00,24-01-2020 11:00:00,24-01-2020 11:00:00,24-01-2020 11:15:00,24-01-2020 11:15:00,nl Per 1000 ophogen
43772,28-01-2020 02:00:00,28-01-2020 02:15:00,28-01-2020 02:00:00,28-01-2020 02:00:00,28-01-2020 02:15:00,28-01-2020 02:15:00,nl Per 1000 ophogen
44152,31-12-2019 05:00:00,05-01-2020 04:30:00,31-12-2019 05:00:00,31-12-2019 05:00:00,05-01-2020 04:01:00,05-01-2020 11:28:00,nl Biedrange 0-15 1 euro (Beuknoot)
44191,07-01-2020 05:00:00,14-01-2020 04:00:00,07-01-2020 05:00:00,07-01-2020 05:00:00,14-01-2020 04:00:00,14-01-2020 05:52:00,de Standard en Standard nl Standaard biedranges
44388,04-02-2020 01:00:00,04-02-2020 01:15:00,04-02-2020 01:00:00,04-02-2020 01:00:00,04-02-2020 01:15:00,04-02-2020 01:15:00,nl Vastgoed Standaard biedranges
44418,20-02-2020 03:00:00,20-02-2020 03:15:00,20-02-2020 03:00:00,20-02-2020 03:00:00,20-02-2020 03:15:00,20-02-2020 03:15:00,nl Per 1000 ophogen
44763,25-12-2019 12:00:00,01-01-2020 03:00:00,25-12-2019 12:00:00,25-12-2019 12:00:00,01-01-2020 03:01:00,01-01-2020 05:04:00,de Standard en Standard nl Standaard biedranges
44777,25-12-2019 09:00:00,08-01-2020 06:30:00,25-12-2019 09:00:00,25-12-2019 09:00:00,08-01-2020 06:33:00,08-01-2020 09:16:00,de Standard en Standard nl Standaard biedranges
44841,23-12-2019 05:00:00,08-01-2020 07:00:00,23-12-2019 05:00:00,23-12-2019 05:00:00,08-01-2020 07:00:00,08-01-2020 08:05:00,de Standard en Standard nl Standaard biedranges
44849,24-01-2020 10:00:00,25-02-2020 10:00:00,24-01-2020 10:00:00,24-01-2020 10:00:00,25-02-2020 10:00:00,25-02-2020 10:00:00,nl Vastgoed Standaard biedranges
44925,16-01-2020 05:00:00,30-01-2020 06:45:00,16-01-2020 05:00:00,30-01-2020 07:59:00,30-01-2020 06:45:00,30-01-2020 08:39:00,de Standard en Standard nl Standaard biedranges
44978,08-01-2020 11:00:00,09-01-2020 09:01:00,08-01-2020 11:00:00,08-01-2020 11:00:00,09-01-2020 09:00:00,09-01-2020 11:59:00,nl 1 Euro stappen
44982,07-01-2020 02:00:00,08-01-2020 11:00:00,07-01-2020 02:00:00,07-01-2020 02:00:00,08-01-2020 11:00:00,08-01-2020 05:38:00,nl 1 Euro stappen
44983,08-01-2020 02:00:00,09-01-2020 11:00:00,08-01-2020 02:00:00,08-01-2020 02:00:00,09-01-2020 11:00:00,09-01-2020 05:17:00,nl 1 Euro stappen
45007,08-01-2020 05:00:00,12-01-2020 04:00:00,08-01-2020 05:00:00,08-01-2020 05:00:00,12-01-2020 04:00:00,12-01-2020 11:09:00,de Standard en Standard nl Standaard biedranges
45014,14-01-2020 05:00:00,21-01-2020 07:01:00,14-01-2020 05:00:00,14-01-2020 05:00:00,21-01-2020 07:01:00,21-01-2020 11:37:00,de Standard en Standard nl Standaard biedranges
45015,04-02-2020 05:00:00,11-02-2020 07:45:00,04-02-2020 05:00:00,04-02-2020 05:00:00,11-02-2020 07:49:00,11-02-2020 10:56:00,de Standard en Standard nl Standaard biedranges
45022,30-12-2019 12:00:00,05-01-2020 07:00:00,30-12-2019 12:00:00,30-12-2019 12:00:00,05-01-2020 07:00:00,05-01-2020 10:33:00,de Standard en Standard nl Standaard biedranges
45033,27-12-2019 05:00:00,06-01-2020 04:00:00,27-12-2019 05:00:00,27-12-2019 05:00:00,06-01-2020 04:15:00,06-01-2020 04:58:00,de Standard en Standard nl Standaard biedranges
45063,02-01-2020 05:00:00,08-01-2020 07:15:00,02-01-2020 05:00:00,02-01-2020 05:00:00,08-01-2020 07:01:00,08-01-2020 09:48:00,de Standard en Standard nl Standaard biedranges
45066,30-01-2020 05:00:00,05-02-2020 07:45:00,30-01-2020 05:00:00,30-01-2020 05:00:00,05-02-2020 07:45:00,05-02-2020 10:19:00,de Standard en Standard nl Standaard biedranges
45071,30-12-2019 05:00:00,08-01-2020 06:00:00,30-12-2019 05:00:00,30-12-2019 05:00:00,08-01-2020 06:00:00,08-01-2020 10:50:00,de Standard en Standard nl Standaard biedranges
45075,30-12-2019 05:00:00,09-01-2020 08:00:00,30-12-2019 05:00:00,30-12-2019 05:00:00,09-01-2020 08:00:00,10-01-2020 12:18:00,de Standard en Standard nl Standaard biedranges
