auction_id,project_auction_start,project_auction_end,project_auction_online,project_accountmanager,project_businessline,project_businessunit,main_category,is_homedelivery,is_public,is_automatic_credit
37597,2020-01-03T11:00:00,2020-01-09T18:02:00,2019-12-31T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
37598,2020-01-09T11:00:00,2020-01-16T11:02:00,2020-01-08T00:00:00,100,001. Art Recurrent,Art & Antiques,Sieraden en horloges,1,1,0
40620,2019-12-20T16:00:00,2020-01-02T18:01:00,2019-12-20T00:00:00,101,001. Seller location,Consumer & Small Business,Woninginrichting,0,1,0
43832,2019-12-20T16:01:00,2020-01-08T18:01:00,2019-12-18T00:00:00,102,001. Seller location,Consumer & Small Business,Metaalindustrie,0,1,0
43843,2019-12-28T16:00:00,2020-01-03T18:30:00,2019-12-27T00:00:00,103,001. Auction Centre - Pick up,Consumer & Small Business,Fietsen,0,0,0
44500,2019-12-26T23:00:00,2020-01-01T22:59:00,2019-12-23T00:00:00,101,001. Recommerce - Delivery,Consumer & Small Business,NULL,1,0,0
44656,2020-01-07T16:00:00,2020-01-21T18:00:00,2019-12-02T00:00:00,104,001. Schipveilingen,Consumer & Small Business,NULL,0,1,0
44727,2019-12-25T16:00:00,2020-01-06T15:01:00,2019-12-24T00:00:00,102,001. Seller location,Consumer & Small Business,Consumentengoederen,0,0,0
44763,2019-12-25T11:00:00,2020-01-01T14:02:00,2019-12-24T00:00:00,100,001. Art Recurrent,Art & Antiques,NULL,1,1,0
44766,2019-12-27T11:00:00,2020-01-03T12:02:00,2019-12-27T00:00:00,100,001. Art Recurrent,Art & Antiques,NULL,1,1,0
44777,2019-12-25T08:00:00,2020-01-08T17:01:00,2019-12-23T00:00:00,105,001. Seller location,Consumer & Small Business,NULL,0,1,0
44822,2019-12-23T16:00:00,2020-01-02T18:01:00,2019-12-18T00:00:00,103,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
44839,2019-12-25T16:00:00,2020-01-07T17:01:00,2019-12-23T00:00:00,106,001. Seller location,Consumer & Small Business,NULL,0,0,0
44843,2019-12-18T16:00:00,2020-01-02T17:01:00,2019-12-16T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,0,0
44871,2019-12-31T22:00:00,2020-01-01T20:00:00,2019-12-27T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
44879,2020-01-03T17:00:00,2020-01-04T09:00:00,2019-12-27T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
44880,2020-01-03T22:00:00,2020-01-04T17:00:00,2019-12-27T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
44888,2020-02-15T08:00:00,2020-02-24T19:01:00,2020-02-14T00:00:00,102,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
44903,2019-12-23T16:00:00,2020-01-06T11:02:00,2019-12-20T00:00:00,106,001. Solo - Delivery,Consumer & Small Business,Consumentenelektronica,0,0,0
44905,2020-01-20T16:00:00,2020-01-27T15:02:00,2020-01-17T00:00:00,106,001. Solo - Delivery,Consumer & Small Business,Consumentenelektronica,0,0,0
44915,2020-01-03T08:00:00,2020-01-11T18:01:00,2019-12-27T00:00:00,102,001. Seller location,Consumer & Small Business,NULL,0,0,0
44924,2020-01-17T16:00:00,2020-01-30T17:01:00,2020-01-15T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,1,0
44935,2019-12-25T08:00:00,2020-01-13T17:01:00,2019-12-23T00:00:00,103,001. Auction Centre - Pick up,Consumer & Small Business,Motoren,0,1,0
44943,2019-12-25T16:00:00,2020-01-07T18:01:00,2019-12-23T00:00:00,103,001. Seller location,Consumer & Small Business,Consumentengoederen,0,0,0
44946,2019-12-20T16:00:00,2020-01-02T18:01:00,2019-12-19T00:00:00,103,001. Seller location,Consumer & Small Business,Consumentengoederen,0,0,0
44953,2020-01-09T16:00:00,2020-01-16T17:01:00,2020-01-06T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44956,2020-01-30T16:00:00,2020-02-06T17:01:00,2020-01-27T00:00:00,108,001. Combi - Delivery,Consumer & Small Business,NULL,1,0,1
44959,2019-12-23T16:00:00,2020-01-13T17:01:00,2019-12-20T00:00:00,105,001. Voluntary one-off - Pick up,Consumer & Small Business,NULL,0,1,0
44961,2019-12-27T16:00:00,2020-01-06T17:00:00,2019-12-24T00:00:00,109,001.Insolvency - Pick-up,Consumer & Small Business,NULL,0,0,0
44980,2020-01-05T13:00:00,2020-01-06T10:00:00,2020-01-03T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
44982,2020-01-07T13:00:00,2020-01-08T10:00:00,2020-01-03T00:00:00,107,001. Daily deals,Consumer & Small Business,NULL,1,0,1
44989,2020-01-07T16:00:00,2020-01-16T18:01:00,2020-01-03T00:00:00,102,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
44990,2020-02-04T16:00:00,2020-02-13T18:01:00,2020-01-31T00:00:00,102,001. Solo - Delivery,Consumer & Small Business,NULL,1,0,0
45010,2020-01-29T16:00:00,2020-02-02T15:03:00,2020-01-28T00:00:00,106,001. Solo - Delivery,Consumer & Small Business,Consumentenelektronica,1,0,0
45044,2020-01-02T16:00:00,2020-01-09T18:01:00,2019-12-30T00:00:00,101,001. Recommerce - Delivery,Consumer & Small Business,NULL,1,0,0
