lot.closing_timeslot,lot.scarcity,auction.id,auction.name,auction.country,auction.country_isocode,auction.is_homedelivery,auction.sourcing_company,auction.is_public,auction.start_date,auction.end_date,auction.lot_min_start_date,auction.lot_max_start_date,auction.lot_min_end_date,auction.lot_max_end_date,auction.bidrange_name,lot.id,lot.number,lot.auction_lot_number,lot.seller_id,lot.opportunity_id,lot.title,lot.is_cancelled,lot.closingdate_day,lot.startingdate,lot.newprice,lot.taxrate,lot.is_collected,lot.collection_date,lot.subcategory,lot.category,lot.valid_bid_count,lot.is_invoiced,lot.starting_at_1EUR,lot.is_sold,lot.is_credited,lot.credit_reason,lot.brand,lot.condition,lot.category_code,lot.seller_category,project.accountmanager,project.business_line,project.business_unit,project.is_homedelivery,project.is_public,project.is_automatic_credit,bid.id,user.id,bid.is_autobid,bid.is_valid,bid.amount,bid.is_latest,bid.is_first,bid.days_to_close,bid.date,lot.closingdate,bid.added_bidvalue,bid.efficy_business_line,lot.app_views,lot.new_price,lot.start_amount,lot.web_views,auction.num_lots,lot.rel_nr,lot.revenue,lot.closing_day_of_week,lot.days_open,lot.category_count_in_auction,lot.subcategory_count_in_auction,lot.closing_dayslot,lot.closing_timeslot_interpolated,lot.category_scarcity,lot.subcategory_scarcity
1065.0000000000002,383,45901,The daily vintage market (fri),Netherlands,nl,1.0,art,0.0,2020-02-07 12:00:00,2020-02-14 08:00:00,2020-02-07 12:00:00,2020-02-07 12:00:00,2020-02-14 08:00:00,2020-02-14 09:03:00,de Standard en Standard nl Standaard biedranges,14320990,58726.0,45901-58726,587471.0,201923261.0,"4 x ZIPPO CIGARETTE LIGHTERS Inc Boxed, Canberra Etc",0.0,2020-02-14 00:00:00,2020-02-07 00:00:00,,0.0,0.0,,Tobacciana.,Verzamelobjecten.,3.0,1.0,0.0,1.0,0.0,,,,ATLAS-1317,Seller,100,001. Art Recurrent,Art & Antiques,1.0,1.0,0.0,72538059.0,2517336.0,1.0,1.0,30.0,1.0,0.0,0.0,2020-02-14 20:00:00,2020-02-14 20:00:00,5.0,001. Art Recurrent,229,,15.0,70.0,212,0.5283018867924528,30.0,4,7,8,4,44,1065.0000000000002,8,4
512.0,559,45454,(Automotive) Personen- en bedrijfsauto's te Geldrop (Hait Cars),Netherlands,nl,0.0,bva,1.0,2020-01-15 05:00:00,2020-01-22 07:30:00,2020-01-15 05:00:00,2020-01-22 08:18:00,2020-01-22 07:30:00,2020-01-22 08:44:00,nl Bva-Automotive,14191551,16.0,45454-16,473342.0,20126533.0,"Renault LAGUNA 1.8 16V Expression, 40-JP-DP",0.0,2020-01-22 00:00:00,2020-01-15 00:00:00,,0.0,0.0,,Renault,Auto's (personen),9.0,1.0,0.0,1.0,0.0,,renault,gebruikt,ATLAS-1796,Seller,110,006.Automotive,Automotive,0.0,1.0,0.0,71833264.0,5563472.0,0.0,1.0,350.0,1.0,0.0,-1.0,2020-01-21 22:00:00,2020-01-22 19:00:00,100.0,006.Automotive,1151,,50.0,444.0,1097,0.24430264357338194,350.0,2,7,35,4,21,512.0,32,4
1301.0,426,46120,Faillissement Vidrea Retail B.V. te Alkmaar,Netherlands,nl,0.0,bva,0.0,2020-02-13 05:00:00,2020-02-24 04:15:00,2020-02-13 05:00:00,2020-02-13 05:00:00,2020-02-24 04:01:00,2020-02-24 05:17:00,de Standard en Standard nl Standaard biedranges,14363343,188.0,46120-188,119467.0,202023391.0,Partij paspoppen,0.0,2020-02-24 00:00:00,2020-02-13 00:00:00,,21.0,1.0,2020-03-03 00:00:00,Winkelinrichting,Partijen,17.0,1.0,0.0,1.0,0.0,,,,ATLAS-1593,Seller,109,001.Insolvency - Pick-up,Consumer & Small Business,0.0,0.0,0.0,72821572.0,5368554.0,0.0,1.0,150.0,1.0,0.0,0.0,2020-02-24 15:00:00,2020-02-24 16:00:00,10.0,001.Insolvency - Pick-up,193,,10.0,183.0,1097,0.6672743846855059,150.0,0,11,12,12,54,1301.0,23,12
1426.0,163,46011,Dagaanbiedingen zaterdagavond,Netherlands,nl,1.0,3rdpartydailyspecials,0.0,2020-02-28 11:00:00,2020-02-29 06:00:00,2020-02-28 11:00:00,2020-02-28 11:00:00,2020-02-29 06:00:00,2020-03-01 12:02:00,nl 1 Euro stappen,14415282,5291.0,46011-5291,501382.0,201718753.0,2 Parya vuurlampen,0.0,2020-02-29 00:00:00,2020-02-28 00:00:00,,21.0,0.0,,Lichtbronnen,Verlichting,13.0,1.0,1.0,1.0,0.0,,parya,,ATLAS-2143,Seller,107,001. Daily deals,Consumer & Small Business,1.0,0.0,1.0,72963607.0,1942414.0,1.0,1.0,14.0,1.0,0.0,0.0,2020-02-29 20:00:00,2020-02-29 21:00:00,1.0,001. Daily deals,59,,1.0,14.0,6649,0.6125733192961348,14.0,5,1,21,2,59,1426.0,25,1
295.0,952,44650,"Dier- en tuinbenodigdheden, (werk)kleding & installatiematerialen te Julianadorp",Netherlands,nl,0.0,bva,0.0,2019-12-24 05:00:00,2020-01-13 06:15:00,2019-12-24 05:00:00,2019-12-24 05:00:00,2020-01-13 06:01:00,2020-01-13 10:02:00,de Standard en Standard nl Standaard biedranges,14089816,304.0,44650-304,642037.0,201923193.0,Partij Skandia gereedschap,0.0,2020-01-13 00:00:00,2019-12-24 00:00:00,,21.0,1.0,2020-01-20 00:00:00,Handgereedschap,Partijen,3.0,1.0,0.0,1.0,0.0,,,,ATLAS-1595,New Seller,105,001. Voluntary one-off - Pick up,Consumer & Small Business,0.0,1.0,0.0,71607706.0,1858064.0,0.0,1.0,11.0,1.0,1.0,0.0,2020-01-13 18:00:00,2020-01-13 18:00:00,2.0,001. Voluntary one-off - Pick up,294,,5.0,72.0,1130,0.40353982300884955,11.0,0,20,65,9,12,295.0,100,6
1012.0,63,45663,Dagaanbiedingen woensdagmiddag,Netherlands,nl,1.0,3rdpartydailyspecials,0.0,2020-02-11 02:00:00,2020-02-12 11:00:00,2020-02-11 02:00:00,2020-02-11 02:00:00,2020-02-12 11:00:00,2020-02-12 05:48:00,nl 1 Euro stappen,14319886,6603.0,45663-6603,533100.0,201718607.0,"Dekbedovertrek, lits-jumeaux",0.0,2020-02-12 00:00:00,2020-02-11 00:00:00,16.0,21.0,0.0,,Bedtextiel,Slapen,15.0,1.0,1.0,1.0,1.0,Retourrechtregeling,,,ATLAS-1889,Seller,107,001. Daily deals,Consumer & Small Business,1.0,0.0,1.0,72473544.0,1074281.0,0.0,1.0,16.0,1.0,0.0,0.0,2020-02-12 14:00:00,2020-02-12 15:00:00,1.0,001. Daily deals,42,16.0,1.0,11.0,4108,0.6813534566699123,16.0,2,1,47,39,42,1009.0,6,4
58.0,160,44873,Dagaanbiedingen vrijdagavond,Netherlands,nl,1.0,3rdpartydailyspecials,0.0,2020-01-02 11:00:00,2020-01-03 09:01:00,2020-01-02 11:00:00,2020-01-02 11:00:00,2020-01-03 09:01:00,2020-01-04 12:01:00,nl 1 Euro stappen,14114495,506.0,44873-506,576519.0,201720119.0,iBello mini gps tracker magnetisch ,0.0,2020-01-03 00:00:00,2020-01-02 00:00:00,,21.0,0.0,,Accessoires,Auto-onderdelen en accessoires,13.0,1.0,1.0,1.0,0.0,,ibello,,ATLAS-99,Seller,107,001. Daily deals,Consumer & Small Business,1.0,0.0,1.0,71328561.0,2483939.0,0.0,1.0,13.0,1.0,0.0,0.0,2020-01-03 14:00:00,2020-01-03 21:00:00,1.0,001. Daily deals,151,,1.0,24.0,6902,0.10243407707910751,13.0,4,1,19,46,2,58.0,7,17
34.00000000000001,307,44872,Dagaanbiedingen donderdagavond,Netherlands,nl,1.0,3rdpartydailyspecials,0.0,2020-01-01 11:00:00,2020-01-02 09:01:00,2020-01-01 11:00:00,2020-01-01 11:00:00,2020-01-02 09:01:00,2020-01-02 11:54:00,nl 1 Euro stappen,14114100,2066.0,44872-2066,574077.0,201922972.0,Segway drift E-skates,0.0,2020-01-02 00:00:00,2020-01-01 00:00:00,,21.0,0.0,,Kids,Attracties,25.0,1.0,1.0,1.0,0.0,,segway,,ATLAS-75,Seller,107,001. Daily deals,Consumer & Small Business,1.0,0.0,1.0,71314522.0,1766661.0,0.0,1.0,72.0,1.0,0.0,0.0,2020-01-02 21:00:00,2020-01-02 21:00:00,1.0,001. Daily deals,168,,1.0,39.0,6357,0.31052383199622463,72.0,3,1,1,1,1,35.00000000000001,1,1
1107.0000000000002,52,45668,Dagaanbiedingen zondagmiddag,Netherlands,nl,1.0,3rdpartydailyspecials,0.0,2020-02-15 06:00:00,2020-02-16 10:00:00,2020-02-15 06:00:00,2020-02-15 06:00:00,2020-02-16 10:00:00,2020-02-16 06:06:00,nl 1 Euro stappen,14327901,5816.0,45668-5816,579611.0,201720568.0,4 Pest Reject ongedierteverjagers  ,0.0,2020-02-16 00:00:00,2020-02-15 00:00:00,,21.0,0.0,,Ongediertebestrijding,Huishoudelijk,16.0,1.0,1.0,1.0,0.0,,pest reject,,ATLAS-1564,Seller,107,001. Daily deals,Consumer & Small Business,1.0,0.0,1.0,72591450.0,2490212.0,0.0,1.0,16.0,1.0,0.0,0.0,2020-02-16 14:00:00,2020-02-16 14:00:00,1.0,001. Daily deals,96,,1.0,20.0,6610,0.6346444780635401,16.0,6,1,19,1,46,1104.0000000000002,4,1
487.0,504,44439,Bedrijfsbeëindiging Kijk Partyverhuur te Den Haag,Netherlands,nl,0.0,bva,0.0,2020-01-07 05:00:00,2020-01-21 06:00:00,2020-01-07 05:00:00,2020-01-07 05:00:00,2020-01-21 06:00:00,2020-01-21 08:44:00,de Standard en Standard nl Standaard biedranges,14147487,175.0,44439-175,637415.0,201923111.0,Set 2X Par 56 Fourbar  ,0.0,2020-01-21 00:00:00,2020-01-07 00:00:00,,21.0,1.0,2020-01-28 00:00:00,Verlichting,Horeca-inventaris,3.0,1.0,0.0,1.0,0.0,,,,ATLAS-351,New Seller,105,001. Voluntary one-off - Pick up,Consumer & Small Business,0.0,1.0,0.0,71719284.0,5507374.0,0.0,1.0,80.0,1.0,0.0,-3.0,2020-01-18 02:00:00,2020-01-21 18:00:00,10.0,001. Voluntary one-off - Pick up,753,,50.0,173.0,2531,0.33267483208218096,80.0,1,14,196,5,20,487.0,185,7
